dbo,tTrainingCompany,1
dbo,tWF_FieldCaption,1
license,MASLicense,1
service,SysConfig,1
service,tTemp_TimeClocks,1
billing,tActivityLogs,0
billing,tAllowance,0
billing,tBillBook,0
billing,tClient,0
billing,tClientAllowance,0
billing,tClientProjectCost,0
billing,tClientType,0
billing,tContractor,0
billing,tContractorAllowance,0
billing,tContractorProjectCost,0
billing,tCountry,0
billing,tInvoice,0
billing,tInvoiceAllowance,0
billing,tInvoiceDetail,0
billing,tInvoiceProjectCost,0
billing,tMultiCurrency,0
billing,tProjectCost,0
billing,tSetting_PeriodDays,0
billing,tTemp_TimeSheetStamp,0
billing,tTimeSheetStamp,0
customize,TimeScan_BioStar,0
customize,tInfoExportGroupDetailSelected,0
customize,tMOD_SettingIncentive,0
customize,tSCC_TempApprove,0
customize,tTropical_History_Incentive,0
dbo,tAddLeaveManagement,0
dbo,tAnnouncement,0
dbo,tAppConnector_File,0
dbo,tApplication,0
dbo,tApproverGroup,0
dbo,tAssignBillRate,0
dbo,tAssignChargeRate,0
dbo,tAssignControlGoTo,0
dbo,tAssignOT,0
dbo,tAssignProjectPermission,0
dbo,tAssignShifiWhirl,0
dbo,tAssignShift,0
dbo,tAssignShiftByWeekDay,0
dbo,tAssignShiftFromCalendar,0
dbo,tAssignTemplateSHF,0
dbo,tAssignTemplateWCD,0
dbo,tAssignUserRole_Advance,0
dbo,tAutoPost_Initial,0
dbo,tAutoPost_Log,0
dbo,tAutoPostSchedule,0
dbo,tAutoPostSchedule_TRM,0
dbo,tAutoPushTime_Tran_Auto,0
dbo,tAutoPushTimeTransaction_Auto,0
dbo,tAutoPushTimeTransaction_MT,0
dbo,tBankBranch,0
dbo,tBatch_ScheduleReload,0
dbo,tBatchPVF,0
dbo,tBillPeriod,0
dbo,tBillSum_PeriodYM,0
dbo,tBillSummary,0
dbo,tCal_PVF,0
dbo,tCashAdvance,0
dbo,tCCList,0
dbo,tColDef_rBILL,0
dbo,tColDef_rPM,0
dbo,tCondition,0
dbo,tCostAllocation,0
dbo,tCostAllocation_UserList,0
dbo,tCostCenter_BU_Mapping,0
dbo,tCourse,0
dbo,tCourseDetail,0
dbo,tCourseGeneration,0
dbo,tCourseTaking,0
dbo,tDetailAssignShiftWhirl,0
dbo,tDL_tLeaveRequest,0
dbo,tDL_tLOG_TimeInOut,0
dbo,tDL_tTimeInOut,0
dbo,tDL_tUser,0
dbo,tDL_tUser_LoginStat,0
dbo,tEmployee_Decoration,0
dbo,tEmployee_FirstFinance,0
dbo,tEmployee_Temp,0
dbo,tEmployeeBank,0
dbo,tEmployeeCodeFilter,0
dbo,tEmployeeCodeFilter_TRM,0
dbo,tEmployeeExtraDetail,0
dbo,tEmployeeFilter,0
dbo,tEmployeeFilter_TRM,0
dbo,tEmployeeTitle_LeaveQuota,0
dbo,TempTableBreakSHF,0
dbo,tEMPTP1_2_Mapping,0
dbo,tEMPTP2_3_Mapping,0
dbo,tGLAccount,0
dbo,tGroup,0
dbo,tImport_Allowances_MappingPreset,0
dbo,tImport_Leave_MappingPreset,0
dbo,tImport_Leave_MappingPreset_New,0
dbo,tImport_MappingPreset,0
dbo,tImport_WorkPlan_MappingPreset,0
dbo,tIncentive_Initial,0
dbo,tIncentive_Log,0
dbo,tLeaveGroup,0
dbo,tLeaveGroupDetail,0
dbo,tLeaveReasonOption,0
dbo,tLeaveRequest,0
dbo,tLevel,0
dbo,tLoan,0
dbo,tLog_AssignShift,0
dbo,tLog_Batch_AutoPost_TimeSheet,0
dbo,tLOG_Course,0
dbo,tLog_EditIncentive,0
dbo,tLOG_ProcedureExec,0
dbo,tLog_RetroClaim,0
dbo,tLOG_tProjectChargeRate,0
dbo,tLOG_UpdateWork_Level,0
dbo,tLogImport_Attendance,0
dbo,tLOGMidnight_OTClaimApprove,0
dbo,tManager,0
dbo,tMOD_BUChargeRate,0
dbo,tMOD_PostedBill,0
dbo,tMOD_PVF_REPORT,0
dbo,tOTCompensate_Permission,0
dbo,tOther1,0
dbo,tOther2,0
dbo,tOther3,0
dbo,tOther4,0
dbo,tOther5,0
dbo,tOTHoliday,0
dbo,tOTRequest_Form,0
dbo,tOTRequest_Form_SHFPeriod,0
dbo,tOTx,0
dbo,tPayroll_BankHolding,0
dbo,tPayroll_GLAccNo_ByEmployee,0
dbo,tPayroll_GLAccNo_ByEmployee_SETDATA,0
dbo,tPayroll_GLAccNoRow_ByEmployee,0
dbo,tPayroll_GLAccNoRow_GroupType,0
dbo,tPayroll_GLAccNoRow_GroupType_ByEmployee,0
dbo,tPayroll_GLAccType_ByEmployee,0
dbo,tPayroll_T0xFormat,0
dbo,tPayrollFilter,0
dbo,tPeriod_Retro,0
dbo,tProject_GLAccNoRow_GroupType,0
dbo,tPVF_ColDef,0
dbo,tPVF_Menu,0
dbo,tPVFSub,0
dbo,tRC_Application,0
dbo,tRC_Computer,0
dbo,tRC_Degree,0
dbo,tRC_DegreeName,0
dbo,tRC_Language,0
dbo,tRC_Question,0
dbo,tRC_Sibling,0
dbo,tRC_Training,0
dbo,tRC_WorkPlace,0
dbo,tReim,0
dbo,tReimRef,0
dbo,tReimType_RR0xFormat,0
dbo,tReportCenter_Config,0
dbo,tReportCustomize_Config,0
dbo,tRequest_WorkAgeLock,0
dbo,tReward,0
dbo,tRPT_ReportFilter,0
dbo,tRule_Incentive,0
dbo,tSCC_SubContract,0
dbo,tSetting_Password,0
dbo,tShift_Filter,0
dbo,tShiftBreak,0
dbo,tShiftGroup,0
dbo,tShiftLateIn,0
dbo,tShiftLateOut,0
dbo,tShiftOT,0
dbo,tShiftPattern,0
dbo,tShiftPatternGroup,0
dbo,tShiftProject,0
dbo,tSiteRate,0
dbo,tSiteTR_BU_Mapping,0
dbo,tSiteTR_MappingScan,0
dbo,tSiteUpdate,0
dbo,tSiteUpdatePlan,0
dbo,tSuspend_Request,0
dbo,tSYS_SCCMenu,0
dbo,tSYSJob,0
dbo,tSYSMODReportFilter,0
dbo,tSysOutPayMenuFav,0
dbo,tSystemFlow,0
dbo,tSysTRMMenuFav,0
dbo,tTemp_Access_AutoPushTime_Auto,0
dbo,tTemp_AutoPushTime_Auto,0
dbo,tTemp_AutoPushTime_I_T01_Reformatted,0
dbo,tTemp_COM100006556_APS,0
dbo,tTemp_COM100006556_Insentive,0
dbo,tTemp_COM100009403_I_T01_Reformatted,0
dbo,tTemp_COM100009404_APS,0
dbo,tTemp_COM100009404_Insentive,0
dbo,tTemp_COM1000114628_I_102,0
dbo,tTemp_COM1000114628_I_103,0
dbo,tTemp_COM1000114628_I_103_1,0
dbo,tTemp_COM1000114628_I_104,0
