dbo,tAutoPostSchedule_TRM,IsOTOutTime,smallint
dbo,tAutoPostSchedule_TRM,OTTimeOutStart,datetime
dbo,tAutoPostSchedule_TRM,OTTimeOutEnd,datetime
dbo,tBillChargeRate,BillOT1Rate,decimal
dbo,tBillChargeRate,BillOT1_5Rate,decimal
dbo,tBillChargeRate,BillOT2Rate,decimal
dbo,tBillChargeRate,BillOT3Rate,decimal
dbo,tCompany,MinTotalIncomeForSSO,decimal
dbo,tCompany,MaxTotalIncomeForSSO,decimal
dbo,tCompany,SmallPhoto,image
dbo,tCompany,SmallPhotoFileType,varchar
dbo,tCompany,LargePhoto,image
dbo,tCompany,LargePhotoFileType,varchar
dbo,tCompany,Tax50_SmallPhoto,image
dbo,tCompany,Tax50_LargePhoto,image
dbo,tCompany,Tax50_SmallPhoto_FileType,varchar
dbo,tCompany,Tax50_LargePhoto_FileType,varchar
dbo,tCostAllocation,nOT1,decimal
dbo,tCostAllocation,nOT1_5,decimal
dbo,tCostAllocation,nOT2,decimal
dbo,tCostAllocation,nOT3,decimal
dbo,tCourseGeneration,note,varchar
dbo,tDL_tTimeInOut,nOT1,decimal
dbo,tDL_tTimeInOut,nOT1_5,decimal
dbo,tDL_tTimeInOut,nOT2,decimal
dbo,tDL_tTimeInOut,nOT3,decimal
dbo,tDL_tTimeInOut,naOT1,decimal
dbo,tDL_tTimeInOut,naOT1_5,decimal
dbo,tDL_tTimeInOut,naOT2,decimal
dbo,tDL_tTimeInOut,naOT3,decimal
dbo,tDL_tTimeInOut,nbOT1,decimal
dbo,tDL_tTimeInOut,nbOT1_5,decimal
dbo,tDL_tTimeInOut,nbOT2,decimal
dbo,tDL_tTimeInOut,nbOT3,decimal
dbo,tDL_tTimeInOut,ncOT1,decimal
dbo,tDL_tTimeInOut,ncOT1_5,decimal
dbo,tDL_tTimeInOut,ncOT2,decimal
dbo,tDL_tTimeInOut,ncOT3,decimal
dbo,tDL_tTimeInOut,BillOT1Rate,decimal
dbo,tDL_tTimeInOut,BillOT1_5Rate,decimal
dbo,tDL_tTimeInOut,BillOT2Rate,decimal
dbo,tDL_tTimeInOut,BillOT3Rate,decimal
dbo,tEmployee,ResignNoticeDate,smalldatetime
dbo,tEmployee,ResignOtherReason,varchar
dbo,tEmployee,OT1Rate,decimal
dbo,tEmployee,OT1_5Rate,decimal
dbo,tEmployee,OT2Rate,decimal
dbo,tEmployee,OT3Rate,decimal
dbo,tEmployee,nSickLeaveYearQuota,decimal
dbo,tEmployee,nPersonalLeaveYearQuota,decimal
dbo,tEmployee,nVacationYearQuota,decimal
dbo,tEmployee,nL01YearQuota,decimal
dbo,tEmployee,nL02YearQuota,decimal
dbo,tEmployee,nL03YearQuota,decimal
dbo,tEmployee,nL04YearQuota,decimal
dbo,tEmployee,nL05YearQuota,decimal
dbo,tEmployee,nL06YearQuota,decimal
dbo,tEmployee,BillOT1Rate,decimal
dbo,tEmployee,BillOT1_5Rate,decimal
dbo,tEmployee,BillOT2Rate,decimal
dbo,tEmployee,BillOT3Rate,decimal
dbo,tEmployee,nL07YearQuota,decimal
dbo,tEmployee,nL08YearQuota,decimal
dbo,tEmployee,nL09YearQuota,decimal
dbo,tEmployee,nL10YearQuota,decimal
dbo,tEmployee,nL11YearQuota,decimal
dbo,tEmployee,nL12YearQuota,decimal
dbo,tEmployee,nL13YearQuota,decimal
dbo,tEmployee,nL14YearQuota,decimal
dbo,tEmployee,nL15YearQuota,decimal
dbo,tEmployee,OTCostCenter_ID,uniqueidentifier
dbo,tEmployee,IsOTRequest,smallint
dbo,tEmployee,flowOTid,uniqueidentifier
dbo,tEmployee,nSickLeaveInitQuota,decimal
dbo,tEmployee,nPersonalLeaveInitQuota,decimal
dbo,tEmployee,nVacationInitQuota,decimal
dbo,tEmployee,nL01InitQuota,decimal
dbo,tEmployee,nL02InitQuota,decimal
dbo,tEmployee,nL03InitQuota,decimal
dbo,tEmployee,nL04InitQuota,decimal
dbo,tEmployee,nL05InitQuota,decimal
dbo,tEmployee,nL06InitQuota,decimal
dbo,tEmployee,nL07InitQuota,decimal
dbo,tEmployee,nL08InitQuota,decimal
dbo,tEmployee,nL09InitQuota,decimal
dbo,tEmployee,nL10InitQuota,decimal
dbo,tEmployee,nL11InitQuota,decimal
dbo,tEmployee,nL12InitQuota,decimal
dbo,tEmployee,nL13InitQuota,decimal
dbo,tEmployee,nL14InitQuota,decimal
dbo,tEmployee,nL15InitQuota,decimal
dbo,tEmployee,OtherID,varchar
dbo,tEmployee,OTP_Way,smallint
dbo,tEmployee,OtherID_ExpDate,smalldatetime
dbo,tEmployee,OTP_TelNo,varchar
dbo,tEmployee,IsNotAdjPVFRate,smallint
dbo,tEmployee,IsNotAdjPVFRate_EY,smallint
dbo,tEmployee,OTRF_ID,uniqueidentifier
dbo,tEmployee,nCompensateLeaveYearQuota,decimal
dbo,tEmployee,nCompensateLeaveInitQuota,decimal
dbo,tEmployee,nMaternityLeaveYearQuota,decimal
dbo,tEmployee,nParentalLeaveMomYearQuota,decimal
dbo,tEmployee,nParentalLeaveDadYearQuota,decimal
dbo,tEmployee_Children,IsDeductionProtege,bit
dbo,tEmployee_FirstFinance,First_OT1Rate,decimal
dbo,tEmployee_FirstFinance,First_OT1_5Rate,decimal
dbo,tEmployee_FirstFinance,First_OT2Rate,decimal
dbo,tEmployee_FirstFinance,First_OT3Rate,decimal
dbo,tEmployee_LeaveQuota,nSickLeaveYearQuota,decimal
dbo,tEmployee_LeaveQuota,nPersonalLeaveYearQuota,decimal
dbo,tEmployee_LeaveQuota,nVacationYearQuota,decimal
dbo,tEmployee_LeaveQuota,nL01YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL02YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL03YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL04YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL05YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL06YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL07YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL08YearQuota,decimal
dbo,tEmployee_LeaveQuota,nL09YearQuota,decimal
